card_id,attack,defense,description
T001,9800,9200,世界中のネットワークを相互接続した地球規模の網。ARPANETから発展し、今や落ちると世界が止まる人類のインフラ
T002,9500,8800,インターネットの土台となる通信プロトコル群。1983年のARPANET採用以来、世界をつなぎ続ける現役の伝説
T003,7500,6000,Webページ転送の基本プロトコル。1991年の誕生から進化を続け、HTTP/3では下回りをUDPに乗り換えた
T004,6800,7500,ドメイン名をIPアドレスに変換する分散型の電話帳。これが止まるとURLを覚えていない人類は詰む
T005,7000,7600,HTTPをTLSで暗号化した安全版。鍵マークの正体で、今や暗号化なしのサイトはブラウザに怒られる時代
T006,5000,6500,通信機能を7階層に整理した概念モデル。実装競争ではTCP/IPに敗れたが教科書と試験では永遠のスタメン
T007,5500,6000,ネットワーク上の住所にあたる番号。IPv4の約43億個は枯渇したため、後継のIPv6はほぼ無限級の数を備える
T008,5200,6300,異なるネットワーク同士を中継しパケットの最適な経路を選ぶ機器。家庭のWi-Fiルーターもその末裔
T009,5800,5500,無線LANの普及ブランド名。IEEE 802.11規格の愛称で、実は何かの略語ではないというのが定説
T010,5300,6400,公衆回線上に仮想の専用線を作る技術。暗号化トンネルで通信を守り、リモートワークを陰で支える力持ち
T011,6200,4800,第5世代移動通信システム。高速大容量・低遅延・多数同時接続が売りで、4Gの最大約20倍の速度を誇る
T012,5000,3000,確認応答を省いた速度優先のプロトコル。信頼性はTCPに譲り、動画配信やゲームで速さこそ正義を貫く
T013,3500,5000,端末にIPアドレスを自動で貸し出すプロトコル。彼のおかげで人類は手動設定の苦行から解放された
T014,4200,4000,メール送信を担う1982年生まれのプロトコル。受信はPOP3やIMAPに任せる送り専門の職人気質
T015,4000,3500,ファイル転送の古参プロトコル。平文で通信するため、現在はSFTPなど暗号化版への世代交代が進んでいる
T016,3800,4800,プライベートIPとグローバルIPを変換する技術。IPv4アドレス枯渇問題を延命させた影の功労者
T017,4300,4500,有線LANの事実上の標準規格。1973年の発明以来、LANケーブルの先にいるのはほぼ彼という定番中の定番
T018,4500,3800,データを小分けにして送る通信の単位。宛先を書いた小包が網の中を旅する仕組みで、語源も英語の小包
T019,3600,5200,家庭やオフィスなど限られた範囲のネットワーク。イーサネットや無線LANで構築され現代生活の足元を支える
T020,3400,5000,MACアドレスを学習し宛先のポートだけにデータを流す機器。全員に垂れ流すリピータハブの賢い後輩
T021,2800,3500,通信の窓口を表す0から65535の番号。Webは80番などの定番があり、開けっ放しの窓口は攻撃者の大好物
T022,2500,3600,ネットワーク機器に割り当てられた世界で一意の物理アドレス。48ビットで機器の素性を示す生まれつきの刻印
T023,2400,3800,IPアドレスのネットワーク部とホスト部を区切る値。255.255.255.0の並びは技術者には見慣れた風景
T024,2600,3700,外部ネットワークへの出口となる機器の住所。宛先の分からない通信はとりあえず彼に丸投げされる
T025,3000,2500,相手に応答を求めて疎通を確かめる定番コマンド。名前は潜水艦ソナーの反響音が由来という説が有名
T026,2700,3200,メールをサーバから端末へ取り込む受信プロトコル。ダウンロード派の代表で、サーバ据え置き派のIMAPと対照的
T027,2600,3300,メールをサーバ上で管理する受信プロトコル。複数端末で同じ受信箱を共有できるため現代の主流派
T028,2900,3600,クライアントの代理として外部と通信するサーバ。閲覧の門番やキャッシュ係として社内ネットワークでよく働く
T029,2500,3400,拠点間など広い範囲を結ぶネットワーク。LANの外側に広がる世界で、インターネットも巨大なWANの一種
T030,2700,2800,近距離無線通信の規格。名前の由来は10世紀デンマークの青歯王で、ロゴも王の頭文字のルーン文字
T031,2400,3900,パケットが宛先に届くまでの道筋を決める仕組み。ルーター同士が経路情報を交換し最適ルートで運ぶ
T032,2200,3400,ネットワーク越しに時計を合わせるプロトコル。ログの時刻が揃うのは彼のおかげで、ずれると調査が地獄になる
T033,8200,9500,暗号化と復号に別々の鍵を使う方式。1976年の登場が暗号の歴史を変え、ネット上の安全な取引を可能にした
T034,7200,7800,巨大な数の素因数分解の困難さを利用した公開鍵暗号。名前は開発者3人の頭文字で、デジタル署名でも大活躍
T035,8600,4000,入力欄に不正なSQL文を注入してデータベースを操る攻撃。対策の基本はエスケープ処理とプレースホルダ
T036,6200,8000,通信を検査して不正なパケットを遮断する防火壁。ネットワークの門番として内と外の境界を守り続ける
T037,7500,2500,大量の端末から一斉にアクセスを浴びせてサービスを停止させる攻撃。乗っ取られた家電が加担することもある
T038,7300,2800,データを勝手に暗号化し復旧と引き換えに身代金を要求するマルウェア。日頃のバックアップが最大の反撃札
T039,7000,3000,脆弱なサイトに悪意のスクリプトを仕込み訪問者のブラウザで実行させる攻撃。略称XSSはCSSとの混同回避
T040,6800,2600,本物そっくりの偽サイトやメールで個人情報を釣り上げる詐欺。綴りはfishingではなくphishing
T041,4800,6500,知識・所持・生体など複数の要素を組み合わせる認証方式。パスワード流出だけでは突破させない守りの要
T042,5000,6400,何も信頼しないを前提に全アクセスを毎回検証するセキュリティモデル。社内だから安全という神話を破壊した
T043,3800,5000,パスワードを渡さずに権限だけを委譲する認可の仕組み。外部サービス連携ボタンの裏で今日も働いている
T044,3500,5200,一度のログインで複数のサービスを利用できる仕組み。便利さは抜群だが、破られると全部開く諸刃の剣
T045,3600,5500,Webアプリへの攻撃を検知して遮断する専用の防壁。SQLインジェクションやXSSの矢面に立つ前衛職
T046,3200,5300,ネットワークやホストへの侵入の兆候を検知して警報を上げる監視役。遮断まで踏み込む相棒はIPSと呼ぶ
T047,3400,5400,秘密鍵で署名し公開鍵で検証することで改ざんと成りすましを防ぐ技術。電子契約の信頼を支えるハンコ
T048,4000,4800,任意のデータを固定長の値に変換する一方向関数。わずかな改ざんでも値が激変するため改ざん検知の定番
T049,4200,5000,暗号化と復号に同じ鍵を使う高速な方式。速さが強みだが鍵の受け渡しが弱点で、公開鍵暗号と併用される
T050,5500,2000,悪意あるソフトウェアの総称。ウイルスもワームもトロイの木馬も、ひとまとめにされた悪の大分類
T051,5200,2200,ログイン中の利用者を騙して意図しないリクエストを送らせる攻撃。正式名はクロスサイトリクエストフォージェリ
T052,4300,1200,あらゆる組み合わせを総当たりで試す力任せの攻撃。パスワードが1文字長くなるだけで解読時間は爆発的に伸びる
T053,4200,1300,流出したIDとパスワードの一覧で他のサービスへの不正ログインを試す攻撃。使い回しこそ最大の餌になる
T054,4400,1500,特定の組織を狙い業務メールを装うなど周到に仕掛ける攻撃。無差別型より見抜きにくく訓練の定番題材
T055,4100,1400,技術ではなく人の心理や隙を突いて情報を盗む手口。肩越しの覗き見やゴミ箱漁りも立派な攻撃手法
T056,3800,1600,開いているポートを順に調べてサーバの弱点を探る偵察行為。攻撃の下見にも防御側の点検にも使われる
T057,4000,1800,便利なソフトを装って侵入し裏で悪事を働くマルウェア。名前の由来はギリシャ神話の木馬作戦そのもの
T058,3700,1500,利用者に気づかれないよう情報を集めて外部へ送るマルウェア。無料ソフトのおまけとして忍び込むことも
T059,3600,1400,キーボードの入力内容を密かに記録する仕組み。パスワード窃取の常套手段で、ソフト型も機器型も存在する
T060,3900,1700,乗っ取った多数の機器を遠隔操作で束ねた攻撃部隊。DDoS攻撃の実行役として貸し出されることもある
T061,2400,3800,疑わしいプログラムを隔離環境で実行して挙動を観察する技術。名前の通り安全な砂場で遊ばせて見極める
T062,3400,2800,専門家が実際に攻撃を仕掛けて防御の穴を探す侵入テスト。攻撃者の視点で守りを鍛える組織の健康診断
T063,2300,3700,歪んだ文字や画像選択で人間とボットを見分けるテスト。信号機の画像を延々と選ばされるのは彼のせい
T064,2200,3900,公開鍵の持ち主を認証局が保証する電子的な身分証明書。HTTPSの鍵マークの裏で信頼を支えている
T065,9500,8500,UNIXを書くために生まれた言語。半世紀経った今もOSや組込みの世界を支配する事実上の共通語
T066,9200,8000,読みやすさこそ正義を掲げる言語。AIブームで王座に就いたが名前の由来は蛇でなくコメディ番組
T067,9000,7500,わずか10日で設計されたブラウザの申し子。今やサーバーでも動きJavaとは名前だけの他人
T068,7800,7000,一度書けばどこでも動くを合言葉に世界を席巻。銀行からAndroidまで支える堅牢な優等生
T069,8200,6500,C言語にオブジェクト指向を足した怪物。ゲームエンジンや金融取引など速度が命の現場の主役
T070,6800,7500,1957年生まれの世界初の高級言語。コンパイラの歴史はここから始まりスパコンでは今も現役
T071,7000,6000,括弧の洪水で有名な1958年生まれの言語。AI研究を育てガベージコレクションもここが発祥
T072,6500,5500,JavaScriptに型という鎧を着せたMicrosoft製の言語。大規模開発の救世主として定着
T073,6800,5800,Googleが開発したシンプル至上主義の言語。並行処理が得意でクラウド基盤の裏方を独占中
T074,7200,6200,メモリ安全性をコンパイラが保証する言語。C並みの速度を誇り最も愛される言語調査の常連
T075,6600,5600,Microsoftが生んだJavaの好敵手。ゲームエンジンUnityの標準語として世界中で稼働中
T076,5000,6500,1959年生まれの事務処理言語。引退したいのに銀行や官公庁が離してくれない最古参の現役
T077,7000,4000,機械語と一対一で対応する低水準言語。CPUと直接会話できるが人間の可読性は犠牲になった
T078,5000,4000,日本人まつもとゆきひろ氏が作った言語。プログラマの幸福を掲げRailsでWeb界を席巻した
T079,4800,4500,Webページに埋め込めるお手軽言語。世界のサイトの7割超を支えWordPressの心臓でもある
T080,5500,4500,AppleがObjective-Cの後継に据えた言語。iPhoneアプリ開発の公用語で速度も自慢
T081,5300,4600,Javaの冗長さを解消したJetBrains製の言語。GoogleがAndroid開発の推奨言語に認定
T082,5800,3500,純粋関数型言語の代表格。副作用を型で封じ込める潔癖さで数学好きの心を掴んで離さない
T083,4600,3800,テキスト処理の魔術師と呼ばれた言語。書き方が自由すぎて他人のコードは暗号になりがち
T084,4400,4000,統計解析に特化した言語。データ分析の定番だが名前が一文字すぎて検索泣かせなのが玉に瑕
T085,5200,4200,オブジェクト指向と関数型を融合した欲張りな言語。JVMで動きビッグデータ基盤を支えた
T086,3500,4000,初心者教育のために生まれた言語。ビルゲイツ最初の商品もこれでパソコン少年たちの入口だった
T087,3800,3200,Google製でFlutterの相棒を務める言語。一つのコードでiOSもAndroidも作れる
T088,3600,2800,ブラジル生まれの軽量スクリプト言語。ゲームへの組み込みが得意で名前はポルトガル語で月の意
T089,4200,3000,Pythonの手軽さとCの速度を両立させた科学計算言語。研究者の二言語問題に終止符を打つ
T090,3000,3500,教育用に設計された構造化プログラミングの教科書。数学者パスカルの名を冠した折り目正しい言語
T091,3700,3800,Erlangの仮想マシン上で動く関数型言語。落ちないシステム作りが得意で名前の意味は霊薬
T092,4000,3300,C言語の置き換えを狙う新鋭。隠れた制御フローを嫌い見たままに動くことを信条とする硬派な言語
T093,3400,3100,CにSmalltalk流のメッセージ送信を融合した言語。Swift登場までAppleの公用語だった
T094,3500,2900,JVMで動く現代版Lisp。イミュータブル至上主義で括弧の多さも伝統としてしっかり継承した
T095,3600,3000,強力な型推論を持つ関数型言語。書けばほぼ正しく動くと信者が語る一方で入信の壁は高め
T096,3300,2700,事実と規則を書けば答えを導いてくれる論理型言語。第五世代コンピュータ計画で日本も本気で推した
T097,3400,3900,電話交換機のために生まれた言語。稼働率99.9999999パーセントの伝説を持つ落ちない職人
T098,3200,2800,オブジェクト指向という概念を確立した元祖。GUIもここで育ち現代の言語は皆この子孫といえる
T099,9800,9000,1989年にバーナーズリー氏がCERNで考案した情報共有の仕組み。人類の生活を根底から変えた発明
T100,6500,7800,Webページの構造を記述するマークアップ言語。すべてのサイトはこのタグの積み重ねでできている
T101,6200,7500,Webページの見た目を司るスタイルシート言語。中央寄せ一つで開発者を悩ませてきた愛憎の的
T102,7000,6800,HTTPの流儀に沿ったAPI設計様式。URLとメソッドだけで資源を操作する簡潔さでWebの標準に
T103,5500,6000,JavaScript由来の軽量データ交換フォーマット。XMLを退けAPI界の共通語の座を勝ち取った
T104,4800,6200,タグで構造を表す汎用マークアップ言語。厳格さが持ち味だが冗長すぎてJSONに主役を譲った
T105,5000,5500,ブラウザに小さなデータを保存する仕組み。ログイン状態の維持に必須だが名前の由来は諸説あり
T106,5800,5200,HTMLをプログラムから操作するための木構造モデル。JavaScriptはこれを通じ画面を書き換える
T107,6200,4800,ページを再読み込みせず通信する手法。Googleマップで世界を驚かせWeb2.0時代の扉を開けた
T108,5200,4600,サーバーと双方向通信を実現するプロトコル。チャットや株価表示などリアルタイムの裏で活躍
T109,5000,4200,最初に一枚のページを読み込み後は動的に書き換えるアプリ構成。画面遷移のない滑らかさが売り
T110,4600,4400,Webサイトをアプリのように使える技術。ホーム画面に置けてオフラインでも動く欲張り仕様
T111,4200,5500,Web上の住所を表す文字列。スキームからパスまで意味が詰まっており貼るだけで世界のどこへでも飛べる
T112,5400,4000,Facebookが開発したAPI問い合わせ言語。欲しいデータだけを一度に取れて過不足知らず
T113,5800,4300,ブラウザでネイティブ級の速度を出すバイナリ形式。C++やRustのコードがWebで走り出す
T114,4400,5000,サーバー側で利用者の状態を保持する仕組み。カートの中身が消えないのはこの子のおかげ
T115,4800,3600,検索結果で上位を狙う最適化技術。Googleのアルゴリズム更新のたびに担当者は眠れなくなる
T116,4000,4800,一つのHTMLで画面幅に応じて表示を変える設計手法。スマホ時代のWeb制作の必修科目となった
T117,3200,2600,SNSでリンクを貼ると画像や説明が出る仕組み。あのカード表示はこのメタタグが働いている
T118,2800,3800,年齢や障害に関わらず誰もが使えるようにする設計思想。良い代替テキストはすべての人を救う
T119,3600,2800,JavaScriptを短く書けるようにした伝説のライブラリ。標準APIの進化で役目を終えつつある功労者
T120,3400,2700,CSSに変数やネストを持ち込んだ拡張言語。素のCSSが進化した今も現場で愛される古参の相棒
T121,3500,3200,独自のHTMLタグを作れる標準技術。部品を閉じ込めるShadow DOMという厨二心をくすぐる仲間も
T122,3000,3600,ブラウザにデータを保存する標準API。Cookieより大容量で通信のたびに送られない省エネ設計
T123,3800,3400,異なるドメイン間の通信を制御する仕組み。開発者を最も悩ませるエラーの生みの親として有名
T124,2600,3000,ページの中に別のページを埋め込むHTML要素。広告や地図の埋め込みなど今日も枠の中で働く
T125,2200,2400,ブラウザのタブに表示される小さなアイコン。たった16ピクセルでもサイトの顔として重責を担う
T126,3700,3300,HTMLをサーバー側で組み立ててから届ける方式。初回表示が速くSEOにも強いと再評価された古豪
T127,4000,3000,ブラウザ同士で映像や音声を直接やり取りする技術。ビデオ会議がアプリ不要で動くのはこれの功績
T128,4200,2600,ブラウザで3D描画を可能にする標準API。プラグインなしで本格ゲームが動く時代の立役者
T129,9000,8600,データベースを操る万国共通語。半世紀近く現役で「エスキューエル」派と「シークェル」派の論争も現役
T130,7200,7800,データの重複を排除して矛盾を防ぐ設計手法。第1から第3正規形まで進めるのが基本で、やりすぎると逆に遅くなる
T131,7500,7000,一連の処理をまとめて全部成功か全部なかったことにする仕組み。銀行振込が途中で消えないのはこれのおかげ
T132,6200,6400,表の中の行を一意に特定する列。重複もNULLも許さない頑固者だが、おかげでデータは迷子にならない
T133,6800,5200,検索を高速化する索引。本の巻末索引と同じ発想でB木構造が定番。付けすぎると更新が遅くなる諸刃の剣
T134,5800,6500,トランザクションが守るべき4性質。原子性・一貫性・独立性・耐久性の頭文字で、酸とは何の関係もない
T135,6600,5800,世界で最も使われるオープンソースRDBMSの一つ。Webの爆発的普及を支えた。名前の由来は開発者の娘My
T136,6400,6200,多機能で堅牢なオープンソースRDBMS。通称ポスグレ。象のロゴがトレードマークで拡張性の高さに定評あり
T137,4800,5200,他の表の主キーを参照して表同士を結びつける列。参照整合性の番人で、勝手な削除を許してくれない
T138,4200,4900,実体を持たない仮想的な表。複雑な問い合わせに名前を付けて再利用でき、見せたい列だけ見せる目隠しにも便利
T139,5600,3200,複数の処理が互いのロック解放を待ち続けて全員停止する現象。お見合い状態の膠着はDBMSが強制解除する
T140,4400,5400,データベースの複製を別サーバーに持つ技術。障害対策と負荷分散の定番で、本番が倒れても替え玉が控えている
T141,4600,5000,実体と関連でデータ構造を表す設計図。データベース設計の共通言語で、まずこれを描いてから作るのが正道
T142,5200,4400,関係モデルに縛られないデータベースの総称。Not Only SQLの略で、SQL否定派ではない点に注意
