tag,description
東京23区,東京都の特別区。首都の中枢を担う23の区
山手線,山手線が走る区。1周34.5kmの環状パワー
政令指定都市,人口50万以上で行政権限を持つ大都市
県庁所在地,都道府県の県庁が置かれた中心都市
温泉地,名湯が湧く土地。湯けむりは癒やしと観光の源
城下町,城を中心に栄えた町。武家文化の面影が残る
港町,海の玄関口として栄えた町。異文化と海の幸が集まる
島,海に浮かぶ島の自治体。独自の文化と絶景を持つ
半島,海に突き出た地形。行き止まりの先に絶景がある
豪雪,深い雪に閉ざされる土地。雪が鍛えた粘り強さ
難読,初見ではまず読めない地名。読めたら自慢できる
ひらがな,ひらがな表記の自治体名。やわらかさが武器
日本一,何かで日本一を持つ土地。ゆずれない誇りがある
世界遺産,ユネスコ世界遺産を擁する人類の宝
日本三景,松島・天橋立・宮島。江戸時代から続く三大絶景
古都,かつて都や政権が置かれた歴史の中心地
小京都,京都のような風情を持つと称される町並み
新幹線,新幹線の駅がある。全国と高速でつながる
空港,空の玄関口。世界との接点を持つ
海なし県,海に面していない8つの内陸県
湖,大きな湖を擁する土地。水辺の恵みと絶景
南国,温暖な気候の常夏の土地。時間がゆっくり流れる
秘境,たどり着くのも一苦労な人里離れた別天地
城,天守がそびえる名城。地域のシンボル
ラーメン,ご当地ラーメンの聖地。一杯に街の歴史が詰まっている
夜景,日本有数の夜景を誇る街。宝石箱をひっくり返したような光
焼き物,窯業の伝統が息づく焼き物の里
最果て,日本の端っこ。ここから先は海しかない
うどん,うどん文化が根付く麺どころ
餃子,餃子に人生を懸ける街。消費量トップを争う
ブランド牛,日本が世界に誇る和牛のふるさと
アニメ聖地,アニメの舞台となり世界中のファンが巡礼に訪れる
祭り,魂を燃やす祭りの街。その日のために一年を生きる
花火,夜空を彩る花火の名所。日本の夏の集大成
門前町,大寺社の門前で栄えた祈りの町
忍者,忍びの里。史実に残る忍者のふるさと
酒どころ,名水が育む日本酒の産地。酒蔵の煙突が並ぶ
村,日本の原風景が残る村。じわじわ強い
