id,name,tag,count,multiplier,description
SY01,プロトコルスタック,プロトコル,2,1.3,約束事は重ねるほど強い。層になって世界がつながる
SY02,フルスタックプロトコル,プロトコル,4,1.8,物理層からアプリ層まで制覇。通信のすべてを掌握した
SY03,エンドツーエンド暗号化,暗号,2,1.4,端から端まで漏らさない。盗聴者はただの雑音を眺めるだけ
SY04,暗号スイート,暗号,3,1.9,暗号技術の総動員。解読には宇宙の寿命でも足りない
SY05,多要素認証,認証,2,1.5,知識と所持と生体。二重三重の関門が守りを固める
SY06,ゼロデイの脅威,サイバー攻撃,2,1.4,パッチが出る前に襲いかかる。攻撃は最大の攻撃である
SY07,サイバー総攻撃,サイバー攻撃,3,1.9,あらゆる攻撃ベクトルが火を噴く。CSIRT総出勤の夜
SY08,多層防御,セキュリティ対策,2,1.4,一枚破られてもまだある。守りは層で考える
SY09,ゼロトラスト要塞,セキュリティ対策,3,1.8,何も信頼しないから何も怖くない。鉄壁の構え
SY10,ポリグロット,言語,2,1.3,二刀流プログラマ。適材適所で言語を使い分ける
SY11,多言語カンファレンス,言語,3,1.6,パラダイムの見本市。書き方は違えど目指すは動くコード
SY12,言語オタクの本棚,言語,5,2.2,全部書けるは正義。もはや言語コレクター
SY13,ワンライナー芸,スクリプト言語,2,1.4,書いて即実行。思考のスピードでコードが走る
SY14,型安全神話,静的型付け,2,1.5,コンパイラが全部教えてくれる。実行前に未来が見える
SY15,抽象化の極み,オブジェクト指向,2,1.4,すべてはオブジェクト。現実世界をコードに写し取る
SY16,純粋関数の悟り,関数型,2,1.5,副作用を捨てた者だけが到達する境地。状態とは幻想である
SY17,標準準拠,Web標準,2,1.4,どのブラウザでも同じように動く。それは静かな偉業
SY18,ピクセルパーフェクト,フロントエンド,2,1.5,1pxのズレも許さない。画面の向こうの体験を磨く
SY19,APIゲートウェイ,バックエンド,2,1.5,見えないところで全部やる。縁の下のフルパワー
SY20,第三正規形の美学,リレーショナル,2,1.4,重複なきテーブルは美しい。JOINの数だけ愛がある
SY21,ACIDの誓い,リレーショナル,4,2.0,原子性・一貫性・独立性・永続性。データは何があっても守る
SY22,スキーマレス無双,NoSQL,2,1.5,形にとらわれない自由なデータ。スケールは正義
SY23,メモリの匠,データ構造,2,1.4,適切な入れ物選びが速さを生む。構造を制す者は計算を制す
SY24,計算量マニア,アルゴリズム,2,1.5,O(n²)をO(n log n)に。その差は宇宙規模で効いてくる
SY25,アルゴリズム大全,アルゴリズム,4,2.0,どんな問題にも最適な手順で応える。教科書が歩いている
SY26,理論武装,計算理論,2,1.6,チューリング以来の伝統。理論なくして計算機なし
SY27,カーネルモード,OS,2,1.5,特権レベル0の実力。ハードウェアを直接操る力
SY28,シェル芸人,UNIX系,2,1.5,パイプでつなげば何でもできる。黒い画面は友達
SY29,自作PC魂,ハードウェア,2,1.4,パーツ選びから組み立てまで。物理層への深い愛
SY30,バケツリレー,ネットワーク機器,2,1.4,パケットを次々と運ぶ。世界は機器の連携でできている
SY31,クラウドネイティブ,クラウド,2,1.5,生まれも育ちもクラウド。スケールアウトは息をするように
SY32,オーケストレーション,コンテナ,2,1.6,コンテナの群れを一糸乱れず指揮する。落ちても即復活
SY33,ハイパーバイザー,仮想化,2,1.5,1台の中に何台も。物理の制約から解き放たれた
SY34,過学習気味,機械学習,2,1.5,学びすぎて本番に弱い？いや、このデッキは本番も強い
SY35,特異点前夜,機械学習,4,2.1,AIがAIを賢くする連鎖。シンギュラリティはもう目の前
SY36,プロンプトエンジニア,生成AI,2,1.6,呪文ひとつでAIが従う。言葉こそ最強のインターフェース
SY37,データレイク,ビッグデータ,2,1.5,貯めたデータは裏切らない。分析は量が質に変わる瞬間
SY38,スプリント全力疾走,開発手法,2,1.4,計画・実装・振り返りの高速回転。チームは走りながら強くなる
SY39,DevOpsの円環,開発ツール,2,1.5,書いて試して届けて直す。自動化の輪は止まらない
SY40,コミュニティの力,OSS,3,1.9,世界中の貢献者が支える。ソースは開かれ改良は止まらない
SY41,殿堂入り,レジェンド,2,1.6,歴史を変えた者同士の共鳴。教科書の1ページ目が並ぶ
SY42,レジェンド調印式,レジェンド,3,2.5,伝説級が一堂に会する奇跡。計算機史が動く音がする
SY43,一夜漬け,試験頻出,3,1.6,試験前夜の詰め込みパワー。頻出用語は裏切らない
SY44,午前免除の風格,試験頻出,5,2.3,過去問を極めた者の余裕。マークシートが恐れをなす
SY45,整列完了,ソート,2,1.4,バラバラのデータが並んでいく快感。O(n log n)の風が吹く
SY46,ソートアルゴリズム品評会,ソート,4,2.0,クイックもマージもバブルも集合。安定性と速度を競い合う
SY47,相互運用性,データ形式,2,1.4,共通の書式があれば誰とでも話せる。データに国境はない
SY48,万国共通データ,データ形式,4,1.9,どんなシステムともつながる書式の総結集。パースは任せろ
SY49,日本発世界へ,日本発,2,1.6,日出ずる国のテクノロジー。世界標準への道を切り拓く
SY50,ガラパゴスの逆襲,日本発,3,2.0,独自進化と言われた技術が世界を獲る。持つべきものは執念
SY51,スリーウェイハンドシェイク,プロトコル,3,1.5,SYN・SYN/ACK・ACK。礼儀正しい挨拶が確実な通信を作る
SY52,パラダイムシフト,言語,4,1.9,手続き型も関数型も飲み込んで、プログラミング観が革命される
SY53,サイバー戦争,サイバー攻撃,4,2.2,攻撃手法のフルコース。世界中のSOCに警報が鳴り響く
SY54,インシデント対応訓練,セキュリティ対策,4,2.0,備えあれば憂いなし。防御側の練度が試される
SY55,デザインパターン読書会,オブジェクト指向,3,1.7,先人の知恵を回し読み。継承より委譲、の声が聞こえる
SY56,型パズル,静的型付け,3,1.9,型で語り型で守る。コンパイルが通れば九割勝ち
SY57,アルゴリズム体操,アルゴリズム,3,1.7,一、二、探索、ソート。計算量を意識して体を動かそう
SY58,OS戦争,OS,3,1.8,ペンギンと窓とリンゴの三つ巴。あなたはどの陣営？
SY59,GPUクラスタ,ハードウェア,3,1.8,物理の力は正義。並列計算の暴力で殴る
SY60,クラウド移行完了,クラウド,4,2.1,オンプレの呪縛から解放。請求書はこれからが本番
SY61,追い込み模試,試験頻出,4,1.9,本番一週間前の追い込み。頻出用語が頭に染み込む
SY62,シェバン一行目,スクリプト言語,3,1.8,#!から始まる自動化の魔法。手作業は今日で卒業
SY63,ビッグデータ基盤,ビッグデータ,3,1.9,貯める・流す・分析する。データパイプラインが火を噴く
SY64,チーム開発の掟,開発ツール,3,1.8,ツールを制する者はチームを制す。まずはコミットから
SY65,パンテオン,レジェンド,4,3.0,神殿に集う四柱の計算機神。祈るだけでビルドが通りそう
SY66,計算機科学の神々,レジェンド,5,4.0,教科書の第1章が全員集合。歴史そのものが対戦相手を圧倒する
SY67,オールレイヤー制覇,プロトコル,5,2.5,物理層からアプリケーション層まで完全掌握。通信に死角なし
SY68,世界同時多発攻撃,サイバー攻撃,5,3.0,全攻撃ベクトルの一斉射。世界中のSOCが眠れない夜
SY69,AGI誕生前夜,機械学習,5,3.0,あらゆる学習手法が結集し、汎用人工知能の産声が聞こえる
