tag,description
プロトコル,機器同士が会話するための約束事
暗号,データを守る暗号技術
認証,本人確認・アクセス制御の技術
サイバー攻撃,システムを狙う攻撃手法
セキュリティ対策,攻撃からシステムを守る技術
言語,プログラミング言語
スクリプト言語,手軽に書けて即実行できる言語
静的型付け,コンパイル時に型を検査する言語
オブジェクト指向,オブジェクト指向の考え方を持つ技術
関数型,関数型プログラミングの系譜
Web標準,Webを支える標準技術
フロントエンド,ユーザーの目に見える側の技術
バックエンド,サーバー側を支える技術
リレーショナル,リレーショナルデータベースの世界
NoSQL,RDB以外のデータストア
データ構造,データの持ち方の基本形
アルゴリズム,問題を解く手順
計算理論,計算機科学の理論的基盤
OS,オペレーティングシステム
UNIX系,UNIXの血を引く系譜
ハードウェア,物理的な計算機部品
ネットワーク機器,通信を支える機器
クラウド,クラウドコンピューティング
コンテナ,コンテナ技術
仮想化,仮想化技術
機械学習,データから学ぶAI技術
生成AI,文章や画像を生み出すAI
ビッグデータ,大量データの収集・分析
開発手法,ソフトウェア開発の進め方
開発ツール,開発を支えるツール
OSS,オープンソースソフトウェア
レジェンド,ITの歴史を変えた伝説級
試験頻出,基本情報技術者試験の定番
ソート,データを並べ替えるアルゴリズム
データ形式,データを記述・交換するための書式
日本発,日本生まれで世界に広がった技術
